,Return
2010-04-12,0.023591662732133895
2010-04-19,0.014403342590345907
2010-04-26,0.017294464560385976
2010-05-03,-0.012843528431651277
2010-05-10,-0.08842097616530427
2010-05-17,-0.08764873470000868
2010-05-24,-0.14721405982603322
2010-05-31,-0.09426053865567072
2010-06-07,-0.08071146988561251
2010-06-14,-0.06807746591300311
2010-06-21,-0.05558475343258662
2010-06-28,-0.039632004410536464
2010-07-05,-0.07071743542791498
2010-07-12,-0.05075515081703416
2010-07-19,-0.06507864508040828
2010-07-26,-0.010331018855330387
2010-08-02,0.008323453302073992
2010-08-09,0.007003689950171509
2010-08-16,-0.0017062226599549373
2010-08-23,-0.03853782838757884
2010-08-30,-0.06173163992315066
2010-09-06,-0.06707195415855048
2010-09-13,-0.06885478264490015
2010-09-20,-0.04133037733306235
2010-09-27,-0.026264970935133997
2010-10-04,-0.02264465996892018
2010-10-11,-0.01559733926583609
2010-10-18,-0.020310582245973933
2010-10-25,-0.05444223153693703
2010-11-01,-0.04673880294423796
2010-11-08,-0.02408024850699022
2010-11-15,-0.046607628396658767
2010-11-22,-0.05056579733300346
2010-11-29,-0.07132515133325074
2010-12-06,-0.02750100905639037
2010-12-13,-0.024397978604000396
2010-12-20,-0.014277646138307638
2010-12-27,0.019231070559729443
2011-01-03,-0.0006363489952754924
2011-01-10,-0.004292347860372767
2011-01-17,0.004424085427902917
2011-01-24,-0.017063049704986157
2011-01-31,-0.061016137657912674
2011-02-07,-0.0946858101128375
2011-02-14,-0.10620563825275244
2011-02-21,-0.055188958142378744
2011-02-28,-0.08414574669237719
2011-03-07,-0.06970680069374822
2011-03-14,-0.07464498292119194
2011-03-21,-0.0918818418105656
2011-03-28,-0.10377674173264613
2011-04-04,-0.08812868016838396
2011-04-11,-0.09827405096708025
2011-04-18,-0.12177324241460089
2011-04-25,-0.11596917962763933
2011-05-02,-0.13480439986176274
2011-05-09,-0.1572325665194328
2011-05-16,-0.1439960744975564
2011-05-23,-0.1842290685102879
2011-05-30,-0.14986451029739306
2011-06-06,-0.1403292481843026
2011-06-13,-0.17989570595224685
2011-06-20,-0.19184762330073993
2011-06-27,-0.19064970688256888
2011-07-04,-0.14358365556072697
2011-07-11,-0.16284055866091895
2011-07-18,-0.16410751362987547
2011-07-25,-0.1848906859498784
2011-08-01,-0.25094651571621807
2011-08-08,-0.33042965327204243
2011-08-15,-0.3433093152089859
2011-08-22,-0.3404202774946098
2011-08-29,-0.3469665505796825
2011-09-05,-0.28897430315926353
2011-09-12,-0.2998786327958766
2011-09-19,-0.2770473061846967
2011-09-26,-0.3452903629630381
2011-10-03,-0.3691871883098287
2011-10-10,-0.38924281662031746
2011-10-17,-0.3130776965610613
2011-10-24,-0.2984608319304756
2011-10-31,-0.19967998029497902
2011-11-07,-0.2137013239432713
