,Return
2010-03-29,0.020780973464593074
2010-04-05,0.05383699525543054
2010-04-12,0.06720594890067744
2010-04-19,0.04890447240210136
2010-04-26,0.04049929374970133
2010-05-03,0.011489697183243719
2010-05-10,-0.03929739522146361
2010-05-17,-0.04130857458487876
2010-05-24,-0.08903936026812334
2010-05-31,-0.06015920280010128
2010-06-07,-0.06143322388605482
2010-06-14,-0.05968263763998361
2010-06-21,-0.05901563871856553
2010-06-28,-0.04581665077101332
2010-07-05,-0.0860352712488763
2010-07-12,-0.052920130151758414
2010-07-19,-0.08739723800833465
2010-07-26,-0.010254856797948964
2010-08-02,0.002609745467485332
2010-08-09,0.015240023122243755
2010-08-16,-0.011765339508390635
2010-08-23,-0.01565331012037954
2010-08-30,-0.040096239322879604
2010-09-06,-0.030839116222339688
2010-09-13,-0.044591136477878934
2010-09-20,-0.02588759677086245
2010-09-27,0.00026401377838592213
2010-10-04,0.032997098741316316
2010-10-11,0.05029942070315499
2010-10-18,0.05559667005337189
2010-10-25,0.04881379656244248
2010-11-01,0.04509173456552609
2010-11-08,0.07838064342369784
2010-11-15,0.06007908950990173
2010-11-22,0.06278396261120171
2010-11-29,0.031533797641257064
2010-12-06,0.0537195836834736
2010-12-13,0.045338308660326995
2010-12-20,0.04890994312672792
2010-12-27,0.05985479529967779
2011-01-03,0.051094441808192115
2011-01-10,0.06558131993278342
2011-01-17,0.08808966145360525
2011-01-24,0.057531779399286824
2011-01-31,0.026280324600368617
2011-02-07,-0.0003235303977030292
2011-02-14,0.00831467523272586
2011-02-21,0.046012506737231826
2011-02-28,0.008259700142961013
2011-03-07,0.027201354239294154
2011-03-14,0.004065945001165191
2011-03-21,0.0032583876820786294
2011-03-28,0.009326105223122421
2011-04-04,0.03122074530111865
2011-04-11,0.017954140027322596
2011-04-18,-0.012407581098883496
2011-04-25,0.007495701108759967
2011-05-02,-0.0077800052226601
2011-05-09,-0.03040577639447431
2011-05-16,-0.04958617831001793
2011-05-23,-0.0624589142729013
2011-05-30,-0.03798855676631555
2011-06-06,-0.042444184151534524
2011-06-13,-0.0684377889397852
2011-06-20,-0.0866304344867812
2011-06-27,-0.07559494903095622
2011-07-04,-0.032229337798075505
2011-07-11,-0.053504305930406185
2011-07-18,-0.09043567152009296
2011-07-25,-0.08504698841199888
2011-08-01,-0.12519630067860205
2011-08-08,-0.2133416900461537
2011-08-15,-0.21942545365493998
2011-08-22,-0.23430902320339408
2011-08-29,-0.21363454702574233
2011-09-05,-0.1609027087698488
2011-09-12,-0.1682226984013436
2011-09-19,-0.13603471814257906
2011-09-26,-0.19829511594438098
2011-10-03,-0.20553669324239923
2011-10-10,-0.23144626710129423
2011-10-17,-0.16709090629082238
2011-10-24,-0.1820175555682593
2011-10-31,-0.10671791013069176
2011-11-07,-0.10931653081321306
2011-11-14,-0.11326104437005322
2011-11-21,-0.13945520844868442
2011-11-28,-0.17381807584761777
2011-12-05,-0.1266233375238613
2011-12-12,-0.13177181546623645
2011-12-19,-0.1594572257507692
2011-12-26,-0.10571403894056942
2012-01-02,-0.13054276861836037
2012-01-09,-0.10378660217671379
2012-01-16,-0.1132069633123408
2012-01-23,-0.06354943463960902
2012-01-30,-0.06316368098495714
2012-02-06,-0.03207548546370093
2012-02-13,-0.04154322730380654
2012-02-20,-0.04256314592114946
2012-02-27,-0.036835118429485954
2012-03-05,0.000299649071884428
2012-03-12,-0.018591068056509407
2012-03-19,0.01096810210039326
2012-03-26,-0.026391935181622115
2012-04-02,-0.03439473244275984
2012-04-09,-0.05556444080988787
2012-04-16,-0.06159803070984249
2012-04-23,-0.050804342784862316
2012-04-30,-0.06518428153600489
2012-05-07,-0.09647421343093934
2012-05-14,-0.11516132765821702
2012-05-21,-0.190123379072149
2012-05-28,-0.181931888093936
2012-06-04,-0.19087307278482732
2012-06-11,-0.1772461287800816
2012-06-18,-0.14972789479410337
2012-06-25,-0.17366511690823985
2012-07-02,-0.16592807258040274
2012-07-09,-0.15302170200665668
2012-07-16,-0.1756512092345969
2012-07-23,-0.19375724659433224
2012-07-30,-0.17409368326854657
2012-08-06,-0.16105735160956453
2012-08-13,-0.12504552840514727
2012-08-20,-0.15639212315540751
2012-08-27,-0.16640881107864133
2012-09-03,-0.20144489868511878
2012-09-10,-0.17287502911890315
2012-09-17,-0.08916751722932398
