,Return
2010-04-12,1.2434731189065553
2010-04-19,0.7538545297174581
2010-04-26,0.2712217872217251
2010-05-03,-0.07640839212881045
2010-05-10,-3.200516849597926
2010-05-17,-4.283136965221773
2010-05-24,-5.0393932259949406
2010-05-31,-1.8464540083737337
2010-06-07,-1.8984891885839228
2010-06-14,-1.7131376436417334
2010-06-21,-2.6388496379256456
2010-06-28,-1.7178906807524372
2010-07-05,-2.158935663112892
2010-07-12,-1.4674053625573995
2010-07-19,-1.7933968597956673
2010-07-26,-1.0929783109341784
2010-08-02,-0.7227967801569282
2010-08-09,0.27308941895630856
2010-08-16,0.6393848182235731
2010-08-23,0.6683835577142236
2010-08-30,0.08533919396356537
2010-09-06,-0.748801443081681
2010-09-13,-0.29975199021167526
2010-09-20,2.1330022390163488
2010-09-27,3.113981269665604
2010-10-04,3.6131478569797917
2010-10-11,4.370017205288136
2010-10-18,3.9709486276712216
2010-10-25,3.8047994554256532
2010-11-01,4.86599478314392
2010-11-08,6.708019865033372
2010-11-15,5.8450586505494995
2010-11-22,4.324674120560907
2010-11-29,3.252360264591328
2010-12-06,4.214735057103158
2010-12-13,3.867624657052521
2010-12-20,4.006361495917328
2010-12-27,3.582946369617495
2011-01-03,4.9016991321854695
2011-01-10,3.1627205749670164
2011-01-17,4.259179959914814
2011-01-24,2.6289025255483676
2011-01-31,1.1434079410630773
2011-02-07,-1.0957047400581537
2011-02-14,-1.4305717495785082
2011-02-21,1.853119684432515
2011-02-28,0.3789889689747947
2011-03-07,1.3601360470222628
2011-03-14,1.7144146796239805
2011-03-21,0.4950458929006074
2011-03-28,1.2877707787830166
2011-04-04,2.3666009405190023
2011-04-11,2.323794450083947
2011-04-18,2.070702709826703
2011-04-25,3.019045483955784
2011-05-02,2.9443014466727515
2011-05-09,2.8651251553415786
2011-05-16,2.0570057119755885
2011-05-23,1.746990643581039
2011-05-30,2.3537993067641128
2011-06-06,1.9314032120345876
2011-06-13,0.5238213370885316
2011-06-20,0.8203773106499906
2011-06-27,0.8825648602973186
2011-07-04,2.5950758680735686
2011-07-11,0.674405870336396
2011-07-18,-0.17808837595253935
2011-07-25,-1.150430066657179
2011-08-01,-3.7910629644499743
2011-08-08,-5.633794472319331
2011-08-15,-6.9676273363630825
2011-08-22,-5.826882787903993
2011-08-29,-5.939487727599764
2011-09-05,-1.8660994047139718
2011-09-12,-2.879705085198374
2011-09-19,-2.6794805599613634
2011-09-26,-4.2607697272443374
2011-10-03,-3.72760518751838
2011-10-10,-4.673209437543911
2011-10-17,-4.264488508277933
2011-10-24,-4.255844590144903
2011-10-31,-3.5836886914064974
2011-11-07,-3.986027504345781
2011-11-14,-4.183802832523863
2011-11-21,-4.5107652674278675
2011-11-28,-4.539790601088185
2011-12-05,-3.7498336279805775
2011-12-12,-3.691761501789943
